times,mean (ms),std (ms),name,n,batch_size
256,6.7665474489331245,0.3892276145052165,torch2.0,256,1
256,7.073329295963049,0.3673013125080615,torch2.0,256,4
256,7.001462858170271,0.4823121998924762,torch2.0,256,8
256,6.722390651702881,0.4413879360072315,torch2.0,256,16
256,9.913607500493526,0.8363242959603667,torch2.0,256,32
256,18.40691454708576,1.786766923032701,torch2.0,256,64
256,34.71111133694649,3.645708784461021,torch2.0,256,128
256,6.992929615080357,0.5374812171794474,torch2.0+compile,256,1
256,6.7640990018844604,0.3687766438815743,torch2.0+compile,256,4
256,6.91623380407691,0.2883424458559602,torch2.0+compile,256,8
256,7.071570493280888,0.427529914304614,torch2.0+compile,256,16
256,9.881037287414074,0.6955094868317246,torch2.0+compile,256,32
256,18.107259646058083,1.783573068678379,torch2.0+compile,256,64
256,34.53802689909935,3.730712691321969,torch2.0+compile,256,128
256,2.1185646764934063,0.2466484438627958,onnx+cuda,256,1
256,2.5197742506861687,0.2047248417511582,onnx+cuda,256,4
256,3.637178335338831,0.3265154955442995,onnx+cuda,256,8
256,5.896973889321089,0.3969510144088417,onnx+cuda,256,16
256,9.035494178533554,0.4236326785758137,onnx+cuda,256,32
256,18.209241330623627,0.9575826697982848,onnx+cuda,256,64
256,34.85068678855896,1.3414542190730572,onnx+cuda,256,128
